description,price,rating,review_count,url
"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD, 38.1 cms (15"") FHD Screen, Windows 10, MS Office (15s-gr0011AU)",,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07702242ABH5ZD2YENGL&url=%2FHP-3-3250-Laptop-Windows-15s-gr0011AU%2Fdp%2FB08T6SJ215%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptops%26qid%3D1620033772%26sr%3D8-1-spons%26psc%3D1&qualifier=1620033772&id=651595403567992&widgetName=sp_atf
"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa (15s-fq2535TU)",,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01837343K0AJ0Z9YKN83&url=%2FHP-Laptop-15-6-inch-Windows-15s-fq2535TU%2Fdp%2FB08XNYN5QV%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DHP%2BLaptops%26qid%3D1620033772%26sr%3D8-2-spons%26psc%3D1&qualifier=1620033772&id=651595403567992&widgetName=sp_atf
"HP 15 Entry Level 15.6-inch (39.62 cms) HD Laptop (AMD 3020e/4GB/1TB HDD/Windows 10 Home/Jet Black/1.74 Kg), 15s-gy0003AU",,,,https://www.amazon.in/HP-15-6-inch-Laptop-Windows-15s-gy0003AU/dp/B08RFTYKFZ/ref=sr_1_3?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-3
"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD, 38.1 cms (15"") FHD Screen, Windows 10, MS Office (15s-gr0011AU)",,,,https://www.amazon.in/HP-3-3250-Laptop-Windows-15s-gr0011AU/dp/B08T6SJ215/ref=sr_1_4?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-4
"HP Notebook PC 245 G7 14"" (35.56cms) Laptop ATHLON-3050U/4GB/1TB/Windows 10 Home/ 1 Year Warranty (21Z04PA)",,,,https://www.amazon.in/HP-Notebook-245-G7-ATHLON-3050U/dp/B08TBVBKN5/ref=sr_1_5?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-5
"HP 14 (2021) Thin & Light Intel Celeron N4500 Laptop with Alexa Built-in, 8GB RAM, 256GB SSD, 14-inch HD Screen, Windows 10, MS Office (14s-dq3017TU)",,,,https://www.amazon.in/HP-Celeron-14-inch-Windows-14s-dq3017TU/dp/B0928TF49H/ref=sr_1_6?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-6
"HP 15 Intel Pentium Gold 6405U Processor Entry Level 15.6-inch (39.62 cms) FHD Laptop (4GB/1TB/Win 10/Jet Black/1.74kg), 15s-du1052tu",,,,https://www.amazon.in/HP-Pentium-Processor-15-6-inch-15s-du1052tu/dp/B08HJZHTM1/ref=sr_1_7?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-7
"HP 15 Ryzen 3 4300U Processor 15.6-inch(39.6 cm) FHD Laptop (8GB/256GB/Windows 10/MS Office/Natural Silver/1.69Kg), 15s-ey1003AU",,,,https://www.amazon.in/HP-Processor-15-6-inch-Windows-15s-ey1003AU/dp/B092JKHHPZ/ref=sr_1_8?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-8
"HP 15 AMD Athlon 15.6"" (39.62cms) HD Laptop (Silver-3050U/4GB/1TB/Win 10/MS Office/Jet Black/1.85kg), 15s-gy0001au",,,,https://www.amazon.in/HP-Athlon-15-6-inch-Silver-3050U-15s-gy0001au/dp/B08HJYFZ14/ref=sr_1_9?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-9
"HP Chromebook 14a-na0003TU 14-inch (35.56 cms) Thin & Light Touchscreen Laptop (Intel N4020/4GB/64GB SSD + 256GB Expandable/Chrome OS/1.46 kgs Light), Mineral Silver",,,,https://www.amazon.in/HP-Chromebook-14a-na0003TU-Touchscreen-Expandable/dp/B08C5W6PL2/ref=sr_1_10?dchild=1&keywords=HP+Laptops&qid=1620033772&sr=8-10
