description,price,rating,review_count,url
womens Footwear,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07530951D80V05BCX7DX&url=%2FMochi-Women-Synthetic-Sandals-33-754-45-37%2Fdp%2FB07V4G85NR%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019754%26sr%3D8-1-spons%26psc%3D1&qualifier=1620019754&id=5426133749831930&widgetName=sp_atf
Womens Outdoor Sandals,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07406551OXT6Y4W60PUS&url=%2FMochi-Women-Synthetic-Sandals-35-3577-11-36%2Fdp%2FB08211P57Q%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019754%26sr%3D8-2-spons%26psc%3D1&qualifier=1620019754&id=5426133749831930&widgetName=sp_atf
womens Outdoor Sandals,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07522039DE2R4889NQ2&url=%2FMochi-Womens-Outdoor-Sandals-4-34-9382%2Fdp%2FB084TJJJGT%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019754%26sr%3D8-3-spons%26psc%3D1&qualifier=1620019754&id=5426133749831930&widgetName=sp_atf
Womens Outdoor Sandals,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07498952IA92U176Z602&url=%2FMochi-Womens-Outdoor-Sandals-4-34-9508%2Fdp%2FB07ZS6QN7D%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019754%26sr%3D8-4-spons%26psc%3D1&qualifier=1620019754&id=5426133749831930&widgetName=sp_atf
womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Outdoor-Sandals-33-1039/dp/B083NR8T4Y/ref=sr_1_5?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-5
womens Outdoor Sandals,,,,https://www.amazon.in/Mochi-Chikoo-Synthetic-Sandals-33-853-22-38/dp/B07V6HY1J3/ref=sr_1_6?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-6
womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Leather-Fashion-Sandals-5-33-563/dp/B07MZ8V66S/ref=sr_1_7?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-7
Womens Outdoor Sandals,,,,https://www.amazon.in/Mochi-Womens-Outdoor-Sandals-35-3987/dp/B083NQ9WMV/ref=sr_1_8?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-8
Women Synthetic Sandals (33-1360),,,,https://www.amazon.in/Mochi-Women-Synthetic-Sandals-33-1360-20-38/dp/B08XJS5CFJ/ref=sr_1_9?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-9
Womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Fashion-Sandals-5-34-9799/dp/B084ZHP125/ref=sr_1_10?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-10
Womens Outdoor Sandals,,,,https://www.amazon.in/Mochi-Leather-Outdoor-Sandals-32-554/dp/B083NLRGTT/ref=sr_1_11?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-11
Women Synthetic Sandals (34-9868),,,,https://www.amazon.in/Mochi-Antique-Synthetic-Sandals-34-9868-28-38/dp/B08XJX4PXL/ref=sr_1_12?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-12
Womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Pink-Fashion-Sandals-33-1109/dp/B08KCW9KL8/ref=sr_1_13?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-13
